match_id,league_id,home_team_id,away_team_id,match_date,home_goals,away_goals,status,home_avg_gf_5,home_avg_ga_5,home_pts_5,home_winrate_5,home_drawrate_5,away_avg_gf_5,away_avg_ga_5,away_pts_5,away_winrate_5,away_drawrate_5,home_win,diff_pts_5,diff_avg_gf_5,diff_avg_ga_5,diff_winrate_5,diff_drawrate_5
20623,29,933,925,2023-11-10 20:00:00,0,0,finished,1.5,1.4,12.0,0.3,0.3,1.2,0.3,24.0,0.7,0.3,0,-12.0,0.30000000000000004,1.0999999999999999,-0.39999999999999997,0.0
22486,31,989,981,2023-11-10 20:15:00,4,0,finished,1.5,2.0,7.0,0.2,0.1,0.8,0.9,10.0,0.2,0.4,1,-3.0,0.7,1.1,0.0,-0.30000000000000004
16294,25,845,841,2023-11-11 12:30:00,2,1,finished,1.4,1.8,12.0,0.3,0.3,2.1,1.1,25.0,0.8,0.1,1,-13.0,-0.7000000000000002,0.7,-0.5,0.19999999999999998
17444,26,852,856,2023-11-11 13:00:00,1,2,finished,1.0,1.5,12.0,0.2,0.6,2.5,1.4,27.0,0.9,0.0,0,-15.0,-1.5,0.10000000000000009,-0.7,0.6
18576,27,891,896,2023-11-11 14:00:00,2,2,finished,0.9,1.3,10.0,0.2,0.4,1.6,1.2,19.0,0.6,0.1,0,-9.0,-0.7000000000000001,0.10000000000000009,-0.39999999999999997,0.30000000000000004
19698,28,919,917,2023-11-11 14:30:00,0,0,finished,1.4,3.2,7.0,0.2,0.1,1.1,2.4,6.0,0.1,0.3,0,1.0,0.2999999999999998,0.8000000000000003,0.1,-0.19999999999999998
19697,28,912,914,2023-11-11 14:30:00,2,1,finished,2.7,1.3,21.0,0.7,0.0,2.0,1.5,21.0,0.6,0.3,1,0.0,0.7000000000000002,-0.19999999999999996,0.09999999999999998,-0.3
19696,28,910,906,2023-11-11 14:30:00,1,1,finished,1.9,2.2,12.0,0.3,0.3,2.2,1.9,18.0,0.6,0.0,0,-6.0,-0.30000000000000027,0.30000000000000027,-0.3,0.3
19695,28,903,905,2023-11-11 14:30:00,4,2,finished,3.8,0.7,26.0,0.8,0.2,1.5,2.2,10.0,0.3,0.1,1,16.0,2.3,-1.5000000000000002,0.5,0.1
16297,25,837,832,2023-11-11 15:00:00,2,3,finished,0.9,1.3,12.0,0.3,0.3,1.1,1.4,11.0,0.3,0.2,0,1.0,-0.20000000000000007,-0.09999999999999987,0.0,0.09999999999999998
